,0,1
48,17847373828136107,"[72, 0, 0, 0]"
49,17862915817065331,"[46, 0, 0, 0]"
50,17846521369161914,"[64, 0, 0, 0]"
51,17869147534047700,"[137, 0, 0, 5]"
52,17857113235088978,"[97, 0, 0, 4]"
53,17846791129184000,"[161, 0, 0, 0]"
54,17846901691180699,"[75, 0, 0, 1]"
55,17848785682132209,"[52, 0, 0, 0]"
56,17869557586024115,"[43, 0, 0, 0]"
57,17863880371066011,"[153, 0, 0, 2]"
58,17847373045161299,"[86, 0, 0, 0]"
59,17857914286086967,"[87, 0, 0, 2]"
60,17847736738166921,"[64, 0, 0, 0]"
61,17847678583188926,"[45, 0, 0, 0]"
62,17870785498009457,"[81, 0, 0, 3]"
63,17881431289051230,"[112, 0, 0, 0]"
64,17870478622042103,"[88, 0, 0, 1]"
65,17848406479173235,"[112, 0, 0, 3]"
66,17865312412070586,"[58, 0, 0, 1]"
67,17862655198076391,"[96, 0, 0, 1]"
68,17848554823185333,"[44, 0, 0, 1]"
69,17861037613098562,"[87, 0, 0, 2]"
70,17848915483174364,"[111, 0, 0, 0]"
71,17848910473160017,"[119, 0, 0, 2]"
72,17850960469138260,"[105, 0, 0, 0]"
73,17866166143064953,"[79, 0, 0, 1]"
74,17871749071063260,"[90, 0, 0, 2]"
75,17859919069090015,"[113, 0, 0, 1]"
76,17849772316158292,"[66, 0, 0, 0]"
77,17851613251143204,"[91, 0, 0, 0]"
78,17873019565008396,"[45, 0, 0, 0]"
79,17874398377031328,"[60, 0, 0, 0, 223]"
80,17851912159136291,"[26, 0, 0, 0]"
81,17873526208026307,"[94, 0, 0, 4]"
82,17873138128054381,"[81, 0, 0, 2]"
83,17873755780009562,"[52, 0, 0, 3]"
84,17852674477135947,"[116, 0, 0, 1]"
85,17852438230143323,"[68, 0, 0, 0]"
86,17873580556017358,"[85, 0, 0, 0]"
87,17874021079043578,"[56, 0, 0, 1, 0]"
88,17873893651008701,"[69, 0, 0, 0]"
89,17852021770145219,"[54, 0, 0, 0]"
90,17850919018189156,"[67, 0, 0, 1]"
91,17861863474087538,"[74, 0, 0, 1]"
92,17863824196097323,"[123, 0, 0, 0]"
93,17862010180095508,"[129, 0, 0, 5]"
94,17864257207099482,"[66, 0, 0, 0]"
95,17863997425119429,"[186, 0, 0, 8]"
96,17875691737041656,"[112, 0, 0, 1]"
97,17852180125161988,"[229, 0, 0, 4]"
98,17875998796051063,"[61, 0, 0, 1]"
99,17867111341072768,"[155, 0, 0, 4]"
100,17864206495120477,"[101, 0, 0, 0]"
101,17863054714090831,"[115, 0, 0, 2]"
102,17865226618112002,"[148, 0, 0, 2]"
103,17855694901138953,"[95, 0, 0, 1]"
104,17877246670055156,"[122, 0, 0, 1]"
105,17866036771111167,"[84, 0, 0, 0]"
106,17868437704078741,"[90, 0, 0, 1]"
107,17868899596078562,"[124, 0, 0, 5]"
108,17866076440117473,"[62, 0, 0, 0]"
109,17856406189133741,"[56, 0, 0, 0]"
110,17853944029179343,"[40, 0, 0, 1]"
111,17878462402028751,"[75, 0, 0, 0]"
112,17866773205118872,"[77, 0, 0, 3]"
113,17853928309180208,"[48, 0, 0, 0]"
114,17855044900154977,"[87, 0, 0, 1, 0]"
115,17854598275163515,"[53, 0, 0, 0]"
116,17867596021108062,"[73, 0, 0, 2]"
117,17873643136065245,"[96, 0, 0, 2]"
118,17865284008082747,"[40, 0, 0, 0]"
119,17854459315185987,"[30, 0, 0, 1, 187]"
120,17855871931157407,"[87, 0, 0, 4]"
121,17878739923014294,"[66, 0, 0, 3]"
122,17880343285043909,"[32, 0, 0, 1]"
